number_of_conv2d_layers,number_of_filters,number_of_dense_layers,number_of_dense_nodes,dropout,val_accuracy
2,32,2,512,0.1,0.8607407212257385
2,32,3,256,0.1,0.8483333587646484
2,32,4,256,0.1,0.8459259271621704
2,32,4,128,0.1,0.8381481766700745
2,32,3,512,0.1,0.8311111330986023
2,32,3,128,0.1,0.8272222280502319
2,32,2,128,0.1,0.8085185289382935
2,32,4,512,0.1,0.8066666722297668
2,32,2,256,0.1,0.8038889169692993
2,32,2,512,0.2,0.7914814949035645
2,32,4,256,0.2,0.773888885974884
2,32,2,256,0.2,0.7631481289863586
2,32,2,128,0.2,0.7566666603088379
2,32,3,512,0.2,0.7538889050483704
2,32,4,512,0.2,0.7511110901832581
2,32,3,256,0.2,0.7474074363708496
2,32,4,128,0.2,0.7464814782142639
2,32,3,128,0.2,0.7396296262741089
2,32,2,256,0.4,0.7327777743339539
2,32,2,512,0.4,0.7292592525482178
2,32,3,512,0.4,0.7031481266021729
2,32,2,128,0.4,0.6838889122009277
2,32,4,512,0.4,0.644444465637207
2,32,3,128,0.4,0.6335185170173645
2,32,3,256,0.4,0.6183333396911621
2,32,4,256,0.4,0.6162962913513184
2,32,4,128,0.4,0.5168518424034119
